SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
2977.0,6.0,4.0,Rural,1976.0,483400
3582.0,6.0,3.0,Urban,2018.0,567500
2022.0,3.0,3.0,Suburb,1994.0,322900
1928.0,3.0,3.0,Suburb,1951.0,276900
762.0,1.0,1.0,Rural,1989.0,166500
2831.0,4.0,2.0,Suburb,2020.0,442400
3784.0,6.0,4.0,Rural,2011.0,542900
1169.0,3.0,2.0,Rural,1974.0,167000
3534.0,5.0,4.0,Urban,2014.0,583400
2169.0,3.0,3.0,Suburb,2021.0,311200
3663.0,6.0,3.0,Rural,1988.0,550900
4092.0,6.0,4.0,Suburb,2009.0,621600
1581.0,2.0,2.0,Rural,1985.0,254900
2289.0,4.0,3.0,Rural,1996.0,345400
3174.0,5.0,3.0,Rural,1968.0,448700
3727.0,6.0,4.0,Rural,1997.0,527000
3861.0,6.0,4.0,Rural,1974.0,545100
3562.0,5.0,4.0,Suburb,1990.0,550800
2655.0,3.0,2.0,Urban,1967.0,406100
981.0,2.0,1.0,Rural,1950.0,130300
1608.0,2.0,1.0,Suburb,1986.0,239600
3431.0,5.0,4.0,Urban,1962.0,551900
3137.0,4.0,3.0,Suburb,2010.0,449000
2798.0,4.0,3.0,Urban,1972.0,474900
2509.0,4.0,3.0,Urban,2011.0,448700
2598.0,4.0,4.0,Rural,1988.0,382100
3159.0,6.0,4.0,URBAN,1973.0,532700
4163.0,6.0,5.0,Suburb,1974.0,676200
1255.0,3.0,2.0,Rural,1983.0,216100
1939.0,2.0,2.0,Suburb,2007.0,299900
910.0,3.0,2.0,Urban,1988.0,217700
1472.0,3.0,2.0,Suburb,1954.0,171300
2412.0,3.0,3.0,Urban,1955.0,391600
3751.0,6.0,5.0,Urban,1996.0,640400
2972.0,5.0,4.0,Urban,1972.0,513200
3468.0,6.0,4.0,Suburb,1977.0,556000
1297.0,2.0,2.0,Urban,1972.0,246900
3247.0,5.0,4.0,Urban,1979.0,507400
1623.0,2.0,2.0,Suburb,1956.0,241300
2644.0,4.0,3.0,Rural,1973.0,384300
3637.0,6.0,5.0,Urban,2002.0,639900
2559.0,5.0,4.0,Suburb,1984.0,432200
3724.0,6.0,4.0,Suburb,1987.0,525500
2110.0,3.0,3.0,Suburb,1950.0,284700
2860.0,4.0,3.0,Suburb,1972.0,413700
1084.0,1.0,1.0,Suburb,2021.0,164100
3977.0,6.0,4.0,Rural,1987.0,567000
2994.0,4.0,3.0,Rural,1990.0,435900
3547.0,5.0,3.0,Suburb,1969.0,508900
1278.0,3.0,2.0,Rural,1985.0,219300
1869.0,3.0,2.0,Urban,1961.0,308900
3490.0,5.0,4.0,Rural,1964.0,487400
3861.0,6.0,4.0,Suburb,1951.0,573900
1023.0,2.0,1.0,Rural,1974.0,159700
2304.0,3.0,2.0,Urban,2014.0,402000
3236.0,5.0,3.0,Suburb,1975.0,471700
3250.0,6.0,5.0,Urban,2001.0,549000
2486.0,3.0,3.0,rural,1996.0,355800
4161.0,6.0,4.0,Rural,1961.0,582200
2578.0,4.0,3.0,Suburb,1991.0,378100
3545.0,5.0,3.0,Suburb,1966.0,541900
1481.0,2.0,1.0,Urban,1962.0,244900
1441.0,3.0,2.0,Urban,2018.0,287700
3799.0,6.0,5.0,Rural,1962.0,550800
2268.0,4.0,3.0,Suburb,2012.0,372800
1209.0,2.0,1.0,Suburb,2004.0,182100
3299.0,6.0,4.0,Rural,1952.0,484600
3420.0,4.0,3.0,Urban,2007.0,513300
2601.0,4.0,3.0,Suburb,2000.0,387600
3227.0,4.0,2.0,Rural,1984.0,451900
1074.0,2.0,1.0,Rural,1959.0,185800
2584.0,5.0,3.0,Urban,2014.0,473000
2733.0,4.0,3.0,Suburb,2021.0,443500
2313.0,5.0,3.0,Urban,1968.0,405400
2201.0,3.0,3.0,Urban,1975.0,337100
2036.0,3.0,2.0,Rural,1990.0,281900
940.0,1.0,1.0,Suburb,2001.0,163100
2879.0,4.0,3.0,Urban,1985.0,457100
2889.0,4.0,3.0,Urban,1962.0,480400
4145.0,6.0,4.0,Urban,2016.0,668700
2074.0,2.0,2.0,Suburb,2021.0,336000
2436.0,4.0,3.0,Urban,2020.0,399100
2305.0,4.0,3.0,Urban,1987.0,405600
3657.0,5.0,4.0,Urban,1995.0,613800
1867.0,3.0,2.0,Rural,1990.0,287300
2730.0,5.0,3.0,Urban,1994.0,449800
764.0,1.0,2.0,Suburb,1995.0,123700
1132.0,1.0,1.0,Rural,1970.0,143500
2719.0,4.0,2.0,Urban,1982.0,422200
2666.0,4.0,3.0,Urban,1959.0,406900
1274.0,2.0,1.0,Suburb,1963.0,194300
3764.0,5.0,4.0,Rural,2009.0,523000
4008.0,6.0,5.0,Rural,1962.0,605100
3529.0,5.0,3.0,Rural,1995.0,458900
3297.0,4.0,3.0,Rural,1997.0,478300
2134.0,4.0,3.0,Suburb,1988.0,333900
2274.0,3.0,2.0,Urban,1983.0,366000
2077.0,4.0,3.0,Urban,2000.0,377500
3278.0,4.0,4.0,Suburb,2013.0,447300
3027.0,5.0,4.0,Suburb,1971.0,433200
1411.0,1.0,1.0,Suburb,2019.0,222300
2790.0,4.0,3.0,Suburb,1950.0,411800
2132.0,3.0,3.0,Suburb,2014.0,323300
2028.0,4.0,3.0,Suburb,2010.0,354700
1359.0,1.0,1.0,Urban,1988.0,264600
2222.0,3.0,2.0,Urban,2009.0,403800
2577.0,4.0,4.0,Rural,1974.0,392200
4161.0,6.0,5.0,Rural,1981.0,678900
679.0,1.0,1.0,Suburb,1998.0,115100
2042.0,3.0,2.0,Urban,1997.0,416900
3357.0,4.0,3.0,Suburb,1973.0,487700
3544.0,5.0,4.0,Rural,1980.0,506300
3501.0,6.0,4.0,urban,1951.0,572700
2363.0,4.0,4.0,Suburb,1975.0,429600
3465.0,5.0,4.0,Urban,1999.0,579000
2212.0,4.0,3.0,Rural,1996.0,330500
2493.0,3.0,3.0,Urban,2008.0,436700
1284.0,1.0,1.0,Rural,1973.0,197600
825.0,1.0,1.0,Urban,1952.0,216300
4056.0,6.0,5.0,Suburb,2000.0,642300
1202.0,2.0,2.0,Rural,1961.0,148200
2493.0,5.0,4.0,Rural,1981.0,351900
3131.0,5.0,4.0,Urban,1991.0,507300
3563.0,6.0,4.0,Rural,1984.0,525600
2508.0,4.0,4.0,Urban,1984.0,437200
2528.0,5.0,3.0,Urban,1954.0,468300
1743.0,2.0,2.0,Urban,2010.0,350700
3761.0,6.0,5.0,Suburb,1970.0,577100
727.0,1.0,1.0,Suburb,1950.0,114900
4081.0,6.0,5.0,Urban,1991.0,648600
2478.0,3.0,2.0,Urban,2015.0,424800
2096.0,3.0,2.0,Urban,1991.0,336000
2151.0,3.0,2.0,Rural,1996.0,306100
2569.0,4.0,3.0,Suburb,1950.0,386100
3750.0,4.0,3.0,Suburb,2013.0,553600
3050.0,4.0,3.0,Urban,2010.0,524500
2953.0,4.0,3.0,Rural,1958.0,397800
2007.0,4.0,3.0,Urban,1988.0,394000
1409.0,2.0,1.0,Suburb,1965.0,203700
4035.0,6.0,5.0,Suburb,1986.0,592900
3912.0,6.0,4.0,Urban,1993.0,648300
1258.0,2.0,2.0,Suburb,1958.0,188400
1346.0,2.0,2.0,Suburb,1957.0,223600
4187.0,6.0,4.0,Rural,2015.0,621000
2312.0,3.0,1.0,Suburb,2000.0,359500
1484.0,2.0,1.0,Urban,1989.0,247900
2989.0,4.0,4.0,Urban,2010.0,502700
3947.0,6.0,4.0,Urban,2010.0,673400
3195.0,6.0,4.0,Rural,1990.0,481200
3557.0,5.0,4.0,Suburb,1991.0,498700
1685.0,1.0,1.0,Urban,2004.0,288300
2842.0,5.0,3.0,Urban,2019.0,498400
1550.0,3.0,2.0,Suburb,1972.0,244300
2358.0,4.0,3.0,Urban,1996.0,425200
1862.0,3.0,2.0,Rural,2017.0,250300
2106.0,2.0,1.0,Suburb,1993.0,285800
2255.0,4.0,3.0,Rural,1951.0,322000
4127.0,6.0,5.0,Rural,2011.0,610400
1574.0,3.0,2.0,Rural,2019.0,307700
3842.0,5.0,4.0,Suburb,1980.0,579800
1889.0,2.0,2.0,Suburb,1997.0,318300
834.0,2.0,1.0,urban,1953.0,223900
2692.0,4.0,3.0,Urban,1980.0,471800
3784.0,6.0,5.0,Rural,2004.0,555100
4116.0,5.0,4.0,Suburb,1986.0,606700
3896.0,5.0,4.0,Suburb,1977.0,556400
3339.0,5.0,4.0,Urban,1997.0,569800
783.0,2.0,2.0,Rural,1999.0,130200
2598.0,4.0,3.0,Rural,1992.0,408000
2182.0,3.0,2.0,Suburb,2011.0,311300
1949.0,4.0,3.0,Urban,2012.0,370900
1328.0,2.0,2.0,Rural,1970.0,182900
3359.0,5.0,4.0,Urban,1955.0,516200
938.0,2.0,1.0,Rural,1988.0,161800
730.0,2.0,2.0,Suburb,1973.0,162800
4126.0,6.0,5.0,Urban,1969.0,691500
873.0,2.0,2.0,Rural,1959.0,121600
1296.0,2.0,1.0,Suburb,1960.0,215100
880.0,1.0,1.0,Rural,1995.0,113600
3103.0,5.0,4.0,Urban,1978.0,532900
742.0,1.0,1.0,Rural,1964.0,101400
714.0,1.0,1.0,Rural,1971.0,127500
2363.0,4.0,3.0,Rural,2002.0,362800
1721.0,3.0,3.0,Suburb,1979.0,295800
719.0,1.0,1.0,Urban,1962.0,132000
2506.0,4.0,3.0,Urban,2009.0,435600
1468.0,2.0,2.0,Suburb,1999.0,220100
1052.0,2.0,1.0,Suburb,1986.0,180000
3920.0,6.0,5.0,Rural,1974.0,545000
2089.0,3.0,2.0,Suburb,1983.0,328800
1650.0,3.0,2.0,Suburb,2020.0,283800
1141.0,1.0,1.0,Suburb,1989.0,159400
2890.0,3.0,3.0,Suburb,1987.0,438300
1494.0,2.0,2.0,Suburb,1970.0,245000
1667.0,1.0,1.0,Urban,1968.0,303200
1125.0,1.0,1.0,Suburb,1969.0,173400
2800.0,4.0,3.0,Suburb,1977.0,367400
1561.0,2.0,2.0,Rural,1995.0,250500
4150.0,6.0,5.0,Urban,2012.0,635600
2585.0,5.0,3.0,Rural,1996.0,406100
1760.0,3.0,2.0,Rural,1958.0,232900
3982.0,6.0,5.0,Rural,1983.0,561100
2672.0,5.0,4.0,Suburb,2006.0,435500
3471.0,5.0,4.0,Rural,1960.0,527900
1136.0,2.0,3.0,Suburb,2010.0,262000
1632.0,2.0,2.0,Urban,2010.0,338300
885.0,2.0,2.0,Suburb,2005.0,196700
3813.0,6.0,4.0,URBAN,1998.0,610700
2288.0,4.0,3.0,SUBURB,1996.0,379700
1676.0,2.0,1.0,Suburb,1984.0,265500
2337.0,5.0,4.0,Urban,1956.0,436200
694.0,1.0,1.0,Suburb,1982.0,145100
1554.0,2.0,1.0,Suburb,1996.0,225000
2991.0,4.0,3.0,Suburb,1980.0,421600
1693.0,2.0,2.0,Rural,1969.0,285800
2777.0,4.0,3.0,Urban,1974.0,453500
1116.0,2.0,1.0,Rural,1990.0,168100
4150.0,6.0,5.0,Suburb,1973.0,613600
1616.0,2.0,1.0,Suburb,2014.0,250400
1358.0,2.0,2.0,Urban,1972.0,248900
806.0,2.0,1.0,Suburb,2005.0,174400
794.0,1.0,1.0,Suburb,2004.0,161800
2763.0,4.0,3.0,Suburb,1974.0,439000
985.0,1.0,1.0,Suburb,2003.0,162300
2854.0,4.0,3.0,Rural,1976.0,392300
3839.0,6.0,4.0,Urban,1999.0,595800
3131.0,4.0,2.0,Urban,1992.0,473900
2454.0,5.0,4.0,Rural,2012.0,409100
4068.0,6.0,4.0,Urban,2001.0,692900
2224.0,3.0,2.0,Rural,1979.0,322700
2483.0,4.0,4.0,Suburb,1991.0,391400
3192.0,5.0,5.0,Suburb,2008.0,518800
3325.0,6.0,5.0,Urban,1972.0,584500
2439.0,4.0,3.0,Rural,1959.0,355000
1052.0,2.0,1.0,Suburb,1954.0,171000
1646.0,2.0,2.0,Rural,1954.0,272400
2925.0,4.0,3.0,Rural,1979.0,451500
2386.0,4.0,3.0,SUBURB,1973.0,361200
2515.0,5.0,4.0,Suburb,1987.0,412700
1205.0,1.0,2.0,Urban,1966.0,205600
1465.0,3.0,3.0,Suburb,1979.0,300700
960.0,1.0,1.0,Rural,1970.0,125900
3806.0,6.0,5.0,Urban,1999.0,638600
4037.0,6.0,4.0,Rural,2008.0,589700
2841.0,5.0,4.0,Suburb,1994.0,470600
2407.0,3.0,2.0,Suburb,1953.0,338300
2999.0,4.0,3.0,Urban,1990.0,469800
2730.0,4.0,2.0,Rural,1988.0,409200
743.0,1.0,2.0,Urban,1995.0,177400
3373.0,6.0,5.0,Urban,1966.0,571900
3701.0,6.0,4.0,Suburb,1966.0,538500
3001.0,5.0,4.0,Urban,1996.0,516300
3595.0,6.0,4.0,Urban,1998.0,562900
973.0,1.0,1.0,Suburb,2021.0,115900
2602.0,5.0,3.0,Suburb,1960.0,384700
2714.0,4.0,3.0,Suburb,1976.0,436300
3290.0,5.0,4.0,Suburb,1988.0,488600
2367.0,4.0,3.0,Rural,1956.0,353400
2057.0,3.0,2.0,Suburb,1953.0,278800
3660.0,6.0,5.0,Rural,1986.0,554000
2755.0,5.0,4.0,Urban,1975.0,498600
4090.0,6.0,5.0,Urban,1953.0,646100
1201.0,3.0,3.0,Suburb,2001.0,234200
2305.0,5.0,4.0,Suburb,1950.0,327100
3520.0,5.0,5.0,Urban,1958.0,540300
2150.0,3.0,2.0,Urban,2020.0,343600
2535.0,4.0,3.0,Urban,1957.0,462400
3794.0,6.0,5.0,Rural,1966.0,558100
2493.0,3.0,3.0,Suburb,1982.0,376900
3451.0,4.0,4.0,Urban,1956.0,550700
4132.0,6.0,4.0,Suburb,1975.0,617400
3755.0,6.0,5.0,Rural,1999.0,546200
4100.0,6.0,5.0,Suburb,2008.0,666900
732.0,1.0,1.0,Urban,2012.0,195700
2638.0,5.0,3.0,Rural,2015.0,381500
738.0,2.0,1.0,Urban,2007.0,174600
1461.0,2.0,3.0,Urban,1964.0,309400
1339.0,2.0,2.0,Rural,1963.0,182100
3132.0,5.0,4.0,Urban,2010.0,521400
3895.0,6.0,5.0,Suburb,1957.0,546000
2660.0,5.0,4.0,Suburb,1964.0,417300
915.0,1.0,1.0,Urban,1954.0,176300
1861.0,4.0,4.0,Suburb,1985.0,328100
2834.0,5.0,4.0,Urban,1992.0,481800
1904.0,3.0,2.0,Suburb,2003.0,361200
2783.0,4.0,3.0,Rural,1979.0,383100
1779.0,3.0,2.0,Suburb,2005.0,307100
2344.0,4.0,3.0,Rural,2003.0,329600
3948.0,6.0,5.0,Suburb,2009.0,632500
1857.0,4.0,3.0,Urban,1992.0,342400
2467.0,4.0,3.0,Urban,1965.0,420400
1662.0,3.0,2.0,Suburb,1965.0,269100
811.0,1.0,1.0,Urban,1983.0,176500
1572.0,2.0,1.0,Urban,1993.0,253500
2150.0,3.0,2.0,Rural,1983.0,340300
1131.0,3.0,2.0,Urban,1975.0,238000
1590.0,1.0,1.0,Urban,1997.0,307100
2359.0,4.0,3.0,Suburb,1961.0,377500
1130.0,1.0,2.0,Suburb,1965.0,188200
1187.0,3.0,2.0,Rural,2001.0,173100
661.0,2.0,1.0,Rural,1986.0,112400
2651.0,4.0,3.0,Suburb,1959.0,447600
3365.0,6.0,4.0,Urban,1997.0,573400
2123.0,3.0,1.0,Urban,1978.0,328800
3062.0,5.0,3.0,Suburb,2015.0,451300
3738.0,6.0,4.0,Urban,1972.0,654400
1501.0,2.0,3.0,Suburb,1963.0,220300
2980.0,5.0,3.0,Suburb,1995.0,490000
664.0,1.0,1.0,Urban,2004.0,157900
2196.0,3.0,2.0,Suburb,1968.0,333100
1908.0,3.0,2.0,Rural,2012.0,281900
3096.0,4.0,3.0,Urban,1980.0,478900
2953.0,5.0,4.0,Rural,1977.0,459900
3510.0,6.0,5.0,Urban,2008.0,608200
3540.0,6.0,5.0,Suburb,2013.0,517200
1192.0,2.0,2.0,Suburb,2010.0,224300
735.0,1.0,1.0,Rural,2005.0,90000
4024.0,6.0,5.0,Rural,1959.0,525000
2676.0,5.0,4.0,Suburb,1965.0,425100
1870.0,4.0,3.0,Urban,2015.0,374200
1170.0,2.0,2.0,Suburb,1974.0,241600
1477.0,2.0,2.0,Suburb,1960.0,257300
699.0,1.0,1.0,Suburb,1979.0,103800
1602.0,2.0,2.0,Suburb,1997.0,228100
3104.0,5.0,4.0,Urban,1997.0,567400
1566.0,2.0,2.0,Urban,1952.0,276500
695.0,1.0,1.0,Rural,1987.0,112800
3085.0,6.0,4.0,Suburb,1954.0,495100
1111.0,1.0,1.0,Urban,2008.0,188900
1414.0,2.0,2.0,Urban,2016.0,279100
3173.0,5.0,3.0,Urban,1990.0,512400
2207.0,3.0,2.0,Suburb,2001.0,339700
2366.0,3.0,2.0,Urban,1995.0,395600
2050.0,4.0,2.0,Suburb,1958.0,329100
3677.0,6.0,5.0,Suburb,1976.0,585400
3025.0,5.0,2.0,Suburb,1967.0,472400
3941.0,6.0,5.0,Urban,2006.0,620100
4175.0,6.0,5.0,Rural,1973.0,640500
2362.0,3.0,2.0,Suburb,2007.0,381900
1695.0,2.0,1.0,Suburb,2005.0,262900
3078.0,4.0,3.0,Suburb,1967.0,450300
1437.0,2.0,2.0,Suburb,2010.0,233900
3843.0,6.0,5.0,Rural,2004.0,585800
2308.0,4.0,3.0,Suburb,2018.0,376300
2500.0,3.0,2.0,Urban,1975.0,401300
2479.0,5.0,4.0,Urban,1959.0,443700
2919.0,4.0,2.0,Suburb,1951.0,434800
1747.0,3.0,2.0,Suburb,1997.0,294200
1414.0,2.0,2.0,Rural,2019.0,245300
1038.0,3.0,2.0,Urban,1962.0,253300
770.0,1.0,1.0,Suburb,2014.0,132100
3029.0,4.0,3.0,Suburb,2006.0,479700
1085.0,1.0,1.0,Suburb,1964.0,147900
2646.0,4.0,3.0,Rural,2020.0,401300
2273.0,2.0,2.0,Suburb,1951.0,356500
4063.0,6.0,5.0,Suburb,1963.0,607100
2206.0,4.0,4.0,Rural,2019.0,351500
1920.0,3.0,3.0,Suburb,2013.0,264500
795.0,1.0,1.0,Suburb,1973.0,135200
3373.0,5.0,4.0,Suburb,1985.0,519400
3104.0,5.0,3.0,Urban,1962.0,546600
1356.0,2.0,2.0,Suburb,2006.0,230500
2050.0,4.0,4.0,Suburb,1976.0,337700
2129.0,3.0,3.0,Suburb,1991.0,366500
2558.0,4.0,3.0,Suburb,2008.0,396700
3794.0,6.0,4.0,Suburb,1964.0,586400
3980.0,6.0,5.0,Suburb,1988.0,624900
1086.0,2.0,1.0,Rural,2013.0,171200
3018.0,6.0,5.0,Urban,1989.0,521500
892.0,1.0,1.0,Suburb,2005.0,119300
2800.0,4.0,3.0,Urban,1970.0,428800
3587.0,6.0,4.0,Suburb,1951.0,537300
2906.0,5.0,4.0,Urban,1998.0,488400
3237.0,4.0,4.0,Suburb,1971.0,517100
2993.0,4.0,3.0,Urban,2004.0,528500
4104.0,6.0,4.0,Urban,1982.0,634600
979.0,1.0,1.0,Urban,1968.0,196900
1291.0,1.0,1.0,Urban,2017.0,260900
1991.0,3.0,2.0,Urban,1975.0,341700
2860.0,4.0,3.0,Suburb,2010.0,476000
1899.0,4.0,3.0,Suburb,1968.0,257000
1751.0,2.0,1.0,Urban,1963.0,280000
1681.0,2.0,1.0,Urban,1991.0,315600
824.0,2.0,2.0,Suburb,1990.0,152900
3525.0,6.0,5.0,Rural,1959.0,535600
3417.0,6.0,4.0,Urban,2011.0,538800
3948.0,6.0,4.0,Suburb,2018.0,637000
2101.0,3.0,3.0,Urban,1966.0,390800
1041.0,1.0,1.0,Urban,2010.0,219900
3230.0,5.0,4.0,Suburb,2000.0,516900
3360.0,5.0,3.0,Suburb,1993.0,491400
993.0,2.0,1.0,Rural,1990.0,119700
2385.0,4.0,3.0,Suburb,1959.0,329300
3660.0,5.0,4.0,Urban,1962.0,597900
1332.0,1.0,1.0,Rural,1999.0,180800
2948.0,3.0,2.0,Rural,1997.0,421000
2483.0,4.0,3.0,Urban,1996.0,403800
3575.0,5.0,4.0,Rural,1956.0,506100
3219.0,6.0,4.0,Suburb,1975.0,508200
1210.0,2.0,1.0,Suburb,1979.0,231300
2393.0,4.0,2.0,Urban,1965.0,383200
702.0,1.0,1.0,Suburb,2018.0,160300
2694.0,4.0,3.0,Rural,1966.0,400900
2412.0,4.0,2.0,Suburb,1970.0,347200
2388.0,4.0,2.0,Suburb,1978.0,354000
1455.0,2.0,2.0,Suburb,1980.0,219100
1335.0,3.0,2.0,Urban,1978.0,268200
1824.0,3.0,2.0,Urban,1965.0,316200
3313.0,5.0,4.0,Rural,1964.0,458400
1755.0,4.0,3.0,Suburb,2006.0,327300
3790.0,6.0,5.0,Suburb,1976.0,607200
1960.0,3.0,2.0,Rural,1950.0,295500
1133.0,2.0,1.0,Rural,1966.0,154400
861.0,1.0,1.0,Suburb,1952.0,165400
3774.0,5.0,4.0,Suburb,2013.0,584900
1999.0,2.0,1.0,Suburb,1969.0,265100
4120.0,6.0,5.0,Urban,1996.0,685400
3721.0,6.0,5.0,Urban,1996.0,635700
2436.0,4.0,3.0,Suburb,2012.0,378900
1588.0,2.0,2.0,Suburb,1979.0,226800
1648.0,2.0,1.0,Suburb,2008.0,270400
1715.0,2.0,1.0,Rural,1963.0,174900
1810.0,2.0,2.0,Rural,2001.0,259200
1110.0,2.0,1.0,Urban,1951.0,241600
3766.0,5.0,3.0,Suburb,1953.0,511400
4074.0,6.0,3.0,Urban,2004.0,653200
1793.0,3.0,2.0,Urban,1952.0,329100
2366.0,3.0,2.0,Suburb,2008.0,376900
2257.0,2.0,3.0,Rural,1952.0,300500
2798.0,5.0,4.0,Urban,2010.0,479600
2253.0,4.0,3.0,Urban,1987.0,419600
769.0,1.0,2.0,Suburb,1954.0,149400
3098.0,4.0,2.0,Suburb,1961.0,426000
3685.0,5.0,4.0,Suburb,1978.0,515800
883.0,2.0,1.0,Suburb,1984.0,132800
4198.0,6.0,4.0,Suburb,1977.0,654300
3563.0,5.0,4.0,Rural,1961.0,486300
3425.0,5.0,4.0,Urban,1991.0,566200
2923.0,5.0,4.0,Urban,1974.0,490400
1016.0,2.0,1.0,Urban,1953.0,211300
3310.0,5.0,3.0,Suburb,1950.0,501400
2801.0,4.0,3.0,Suburb,2005.0,414400
1016.0,2.0,2.0,Urban,1951.0,218200
3989.0,6.0,4.0,Urban,1991.0,626400
3771.0,6.0,4.0,Suburb,2017.0,597600
1425.0,2.0,1.0,Urban,1988.0,278000
2912.0,5.0,3.0,Suburb,1994.0,467100
3705.0,6.0,4.0,Suburb,1974.0,577300
3895.0,6.0,4.0,Rural,1973.0,550400
2291.0,4.0,2.0,Suburb,1982.0,347000
2490.0,3.0,3.0,Urban,1964.0,437700
1592.0,1.0,1.0,Rural,1991.0,210400
1903.0,2.0,2.0,Rural,1979.0,290200
2402.0,3.0,1.0,Suburb,1960.0,337900
798.0,1.0,1.0,Suburb,2001.0,163400
